nodenumber,    x-coordinate,    y-coordinate,        pressure,      x-velocity,      y-velocity,    x-coordinate,    y-coordinate
        18, 1.328125000E-01, 0.000000000E+00,-1.452521026E-03, 0.000000000E+00, 0.000000000E+00, 1.328125000E-01, 0.000000000E+00
        19, 1.406250000E-01, 0.000000000E+00,-1.555257857E-03, 0.000000000E+00, 0.000000000E+00, 1.406250000E-01, 0.000000000E+00
        20, 1.484375000E-01, 0.000000000E+00,-1.651535212E-03, 0.000000000E+00, 0.000000000E+00, 1.484375000E-01, 0.000000000E+00
        21, 1.562500000E-01, 0.000000000E+00,-1.740771105E-03, 0.000000000E+00, 0.000000000E+00, 1.562500000E-01, 0.000000000E+00
        22, 1.640625000E-01, 0.000000000E+00,-1.822542115E-03, 0.000000000E+00, 0.000000000E+00, 1.640625000E-01, 0.000000000E+00
        23, 1.718750000E-01, 0.000000000E+00,-1.896396872E-03, 0.000000000E+00, 0.000000000E+00, 1.718750000E-01, 0.000000000E+00
        24, 1.796875000E-01, 0.000000000E+00,-1.961907463E-03, 0.000000000E+00, 0.000000000E+00, 1.796875000E-01, 0.000000000E+00
        25, 1.875000000E-01, 0.000000000E+00,-2.018790340E-03, 0.000000000E+00, 0.000000000E+00, 1.875000000E-01, 0.000000000E+00
        26, 1.953125000E-01, 0.000000000E+00,-2.066863396E-03, 0.000000000E+00, 0.000000000E+00, 1.953125000E-01, 0.000000000E+00
        27, 2.031250000E-01, 0.000000000E+00,-2.106198704E-03, 0.000000000E+00, 0.000000000E+00, 2.031250000E-01, 0.000000000E+00
        28, 2.109375000E-01, 0.000000000E+00,-2.137204008E-03, 0.000000000E+00, 0.000000000E+00, 2.109375000E-01, 0.000000000E+00
        29, 2.187500000E-01, 0.000000000E+00,-2.160429571E-03, 0.000000000E+00, 0.000000000E+00, 2.187500000E-01, 0.000000000E+00
        30, 2.265625000E-01, 0.000000000E+00,-2.175161060E-03, 0.000000000E+00, 0.000000000E+00, 2.265625000E-01, 0.000000000E+00
        31, 2.343750000E-01, 0.000000000E+00,-2.178235916E-03, 0.000000000E+00, 0.000000000E+00, 2.343750000E-01, 0.000000000E+00
        32, 2.421875000E-01, 0.000000000E+00,-2.168330414E-03, 0.000000000E+00, 0.000000000E+00, 2.421875000E-01, 0.000000000E+00
        33, 2.500000000E-01, 0.000000000E+00,-2.148388170E-03, 0.000000000E+00, 0.000000000E+00, 2.500000000E-01, 0.000000000E+00
        34, 2.578125000E-01, 0.000000000E+00,-2.120461883E-03, 0.000000000E+00, 0.000000000E+00, 2.578125000E-01, 0.000000000E+00
        35, 2.656250000E-01, 0.000000000E+00,-2.084136383E-03, 0.000000000E+00, 0.000000000E+00, 2.656250000E-01, 0.000000000E+00
        36, 2.734375000E-01, 0.000000000E+00,-2.038767792E-03, 0.000000000E+00, 0.000000000E+00, 2.734375000E-01, 0.000000000E+00
        37, 2.812500000E-01, 0.000000000E+00,-1.983976212E-03, 0.000000000E+00, 0.000000000E+00, 2.812500000E-01, 0.000000000E+00
        38, 2.890625000E-01, 0.000000000E+00,-1.919647843E-03, 0.000000000E+00, 0.000000000E+00, 2.890625000E-01, 0.000000000E+00
        39, 2.968750000E-01, 0.000000000E+00,-1.845780519E-03, 0.000000000E+00, 0.000000000E+00, 2.968750000E-01, 0.000000000E+00
        40, 3.046875000E-01, 0.000000000E+00,-1.762425471E-03, 0.000000000E+00, 0.000000000E+00, 3.046875000E-01, 0.000000000E+00
        41, 3.125000000E-01, 0.000000000E+00,-1.669703475E-03, 0.000000000E+00, 0.000000000E+00, 3.125000000E-01, 0.000000000E+00
        42, 3.203125000E-01, 0.000000000E+00,-1.567680022E-03, 0.000000000E+00, 0.000000000E+00, 3.203125000E-01, 0.000000000E+00
        43, 3.281250000E-01, 0.000000000E+00,-1.456357662E-03, 0.000000000E+00, 0.000000000E+00, 3.281250000E-01, 0.000000000E+00
        44, 3.359375000E-01, 0.000000000E+00,-1.335802475E-03, 0.000000000E+00, 0.000000000E+00, 3.359375000E-01, 0.000000000E+00
        45, 3.437500000E-01, 0.000000000E+00,-1.206121019E-03, 0.000000000E+00, 0.000000000E+00, 3.437500000E-01, 0.000000000E+00
        46, 3.515625000E-01, 0.000000000E+00,-1.067418748E-03, 0.000000000E+00, 0.000000000E+00, 3.515625000E-01, 0.000000000E+00
        47, 3.593750000E-01, 0.000000000E+00,-9.198065102E-04, 0.000000000E+00, 0.000000000E+00, 3.593750000E-01, 0.000000000E+00
        48, 3.671875000E-01, 0.000000000E+00,-7.634134748E-04, 0.000000000E+00, 0.000000000E+00, 3.671875000E-01, 0.000000000E+00
        49, 3.750000000E-01, 0.000000000E+00,-5.983937057E-04, 0.000000000E+00, 0.000000000E+00, 3.750000000E-01, 0.000000000E+00
        50, 3.828125000E-01, 0.000000000E+00,-4.249226849E-04, 0.000000000E+00, 0.000000000E+00, 3.828125000E-01, 0.000000000E+00
        51, 3.906250000E-01, 0.000000000E+00,-2.431992818E-04, 0.000000000E+00, 0.000000000E+00, 3.906250000E-01, 0.000000000E+00
        52, 3.984375000E-01, 0.000000000E+00,-5.344774312E-05, 0.000000000E+00, 0.000000000E+00, 3.984375000E-01, 0.000000000E+00
        53, 4.062500000E-01, 0.000000000E+00, 1.440809313E-04, 0.000000000E+00, 0.000000000E+00, 4.062500000E-01, 0.000000000E+00
        54, 4.140625000E-01, 0.000000000E+00, 3.491076849E-04, 0.000000000E+00, 0.000000000E+00, 4.140625000E-01, 0.000000000E+00
        55, 4.218750000E-01, 0.000000000E+00, 5.613240197E-04, 0.000000000E+00, 0.000000000E+00, 4.218750000E-01, 0.000000000E+00
        56, 4.296875000E-01, 0.000000000E+00, 7.803905126E-04, 0.000000000E+00, 0.000000000E+00, 4.296875000E-01, 0.000000000E+00
        57, 4.375000000E-01, 0.000000000E+00, 1.005936039E-03, 0.000000000E+00, 0.000000000E+00, 4.375000000E-01, 0.000000000E+00
        58, 4.453125000E-01, 0.000000000E+00, 1.237556882E-03, 0.000000000E+00, 0.000000000E+00, 4.453125000E-01, 0.000000000E+00
        59, 4.531250000E-01, 0.000000000E+00, 1.474816185E-03, 0.000000000E+00, 0.000000000E+00, 4.531250000E-01, 0.000000000E+00
        60, 4.609375000E-01, 0.000000000E+00, 1.717243090E-03, 0.000000000E+00, 0.000000000E+00, 4.609375000E-01, 0.000000000E+00
        61, 4.687500000E-01, 0.000000000E+00, 1.964333582E-03, 0.000000000E+00, 0.000000000E+00, 4.687500000E-01, 0.000000000E+00
        62, 4.765625000E-01, 0.000000000E+00, 2.215552854E-03, 0.000000000E+00, 0.000000000E+00, 4.765625000E-01, 0.000000000E+00
        63, 4.843750000E-01, 0.000000000E+00, 2.470342697E-03, 0.000000000E+00, 0.000000000E+00, 4.843750000E-01, 0.000000000E+00
        64, 4.921875000E-01, 0.000000000E+00, 2.728077669E-03, 0.000000000E+00, 0.000000000E+00, 4.921875000E-01, 0.000000000E+00
        65, 5.000000000E-01, 0.000000000E+00, 2.988127133E-03, 0.000000000E+00, 0.000000000E+00, 5.000000000E-01, 0.000000000E+00
        66, 5.078125000E-01, 0.000000000E+00, 3.249785417E-03, 0.000000000E+00, 0.000000000E+00, 5.078125000E-01, 0.000000000E+00
        67, 5.156250000E-01, 0.000000000E+00, 3.512399680E-03, 0.000000000E+00, 0.000000000E+00, 5.156250000E-01, 0.000000000E+00
        68, 5.234375000E-01, 0.000000000E+00, 3.775307513E-03, 0.000000000E+00, 0.000000000E+00, 5.234375000E-01, 0.000000000E+00
        69, 5.312500000E-01, 0.000000000E+00, 4.037694139E-03, 0.000000000E+00, 0.000000000E+00, 5.312500000E-01, 0.000000000E+00
        70, 5.390625000E-01, 0.000000000E+00, 4.298797656E-03, 0.000000000E+00, 0.000000000E+00, 5.390625000E-01, 0.000000000E+00
        71, 5.468750000E-01, 0.000000000E+00, 4.557847114E-03, 0.000000000E+00, 0.000000000E+00, 5.468750000E-01, 0.000000000E+00
        72, 5.546875000E-01, 0.000000000E+00, 4.814042832E-03, 0.000000000E+00, 0.000000000E+00, 5.546875000E-01, 0.000000000E+00
        73, 5.625000000E-01, 0.000000000E+00, 5.066574448E-03, 0.000000000E+00, 0.000000000E+00, 5.625000000E-01, 0.000000000E+00
        74, 5.703125000E-01, 0.000000000E+00, 5.314623874E-03, 0.000000000E+00, 0.000000000E+00, 5.703125000E-01, 0.000000000E+00
        75, 5.781250000E-01, 0.000000000E+00, 5.557370378E-03, 0.000000000E+00, 0.000000000E+00, 5.781250000E-01, 0.000000000E+00
        76, 5.859375000E-01, 0.000000000E+00, 5.793994907E-03, 0.000000000E+00, 0.000000000E+00, 5.859375000E-01, 0.000000000E+00
        77, 5.937500000E-01, 0.000000000E+00, 6.023684721E-03, 0.000000000E+00, 0.000000000E+00, 5.937500000E-01, 0.000000000E+00
        78, 6.015625000E-01, 0.000000000E+00, 6.245639715E-03, 0.000000000E+00, 0.000000000E+00, 6.015625000E-01, 0.000000000E+00
        79, 6.093750000E-01, 0.000000000E+00, 6.459076753E-03, 0.000000000E+00, 0.000000000E+00, 6.093750000E-01, 0.000000000E+00
        80, 6.171875000E-01, 0.000000000E+00, 6.663242434E-03, 0.000000000E+00, 0.000000000E+00, 6.171875000E-01, 0.000000000E+00
        81, 6.250000000E-01, 0.000000000E+00, 6.857390367E-03, 0.000000000E+00, 0.000000000E+00, 6.250000000E-01, 0.000000000E+00
        82, 6.328125000E-01, 0.000000000E+00, 7.040765916E-03, 0.000000000E+00, 0.000000000E+00, 6.328125000E-01, 0.000000000E+00
        83, 6.406250000E-01, 0.000000000E+00, 7.212673938E-03, 0.000000000E+00, 0.000000000E+00, 6.406250000E-01, 0.000000000E+00
        84, 6.484375000E-01, 0.000000000E+00, 7.372493829E-03, 0.000000000E+00, 0.000000000E+00, 6.484375000E-01, 0.000000000E+00
        85, 6.562500000E-01, 0.000000000E+00, 7.519639291E-03, 0.000000000E+00, 0.000000000E+00, 6.562500000E-01, 0.000000000E+00
        86, 6.640625000E-01, 0.000000000E+00, 7.653513322E-03, 0.000000000E+00, 0.000000000E+00, 6.640625000E-01, 0.000000000E+00
        87, 6.718750000E-01, 0.000000000E+00, 7.773644376E-03, 0.000000000E+00, 0.000000000E+00, 6.718750000E-01, 0.000000000E+00
        88, 6.796875000E-01, 0.000000000E+00, 7.879736068E-03, 0.000000000E+00, 0.000000000E+00, 6.796875000E-01, 0.000000000E+00
        89, 6.875000000E-01, 0.000000000E+00, 7.971339568E-03, 0.000000000E+00, 0.000000000E+00, 6.875000000E-01, 0.000000000E+00
        90, 6.953125000E-01, 0.000000000E+00, 8.048013705E-03, 0.000000000E+00, 0.000000000E+00, 6.953125000E-01, 0.000000000E+00
        91, 7.031250000E-01, 0.000000000E+00, 8.109706520E-03, 0.000000000E+00, 0.000000000E+00, 7.031250000E-01, 0.000000000E+00
        92, 7.109375000E-01, 0.000000000E+00, 8.157039534E-03, 0.000000000E+00, 0.000000000E+00, 7.109375000E-01, 0.000000000E+00
        93, 7.187500000E-01, 0.000000000E+00, 8.191324166E-03, 0.000000000E+00, 0.000000000E+00, 7.187500000E-01, 0.000000000E+00
        94, 7.265625000E-01, 0.000000000E+00, 8.211541399E-03, 0.000000000E+00, 0.000000000E+00, 7.265625000E-01, 0.000000000E+00
        95, 7.343750000E-01, 0.000000000E+00, 8.213068186E-03, 0.000000000E+00, 0.000000000E+00, 7.343750000E-01, 0.000000000E+00
        96, 7.421875000E-01, 0.000000000E+00, 8.195405708E-03, 0.000000000E+00, 0.000000000E+00, 7.421875000E-01, 0.000000000E+00
        97, 7.500000000E-01, 0.000000000E+00, 8.163597100E-03, 0.000000000E+00, 0.000000000E+00, 7.500000000E-01, 0.000000000E+00
        98, 7.578125000E-01, 0.000000000E+00, 8.119819180E-03, 0.000000000E+00, 0.000000000E+00, 7.578125000E-01, 0.000000000E+00
        99, 7.656250000E-01, 0.000000000E+00, 8.063125834E-03, 0.000000000E+00, 0.000000000E+00, 7.656250000E-01, 0.000000000E+00
       100, 7.734375000E-01, 0.000000000E+00, 7.993156251E-03, 0.000000000E+00, 0.000000000E+00, 7.734375000E-01, 0.000000000E+00
       101, 7.812500000E-01, 0.000000000E+00, 7.910282548E-03, 0.000000000E+00, 0.000000000E+00, 7.812500000E-01, 0.000000000E+00
       102, 7.890625000E-01, 0.000000000E+00, 7.815301183E-03, 0.000000000E+00, 0.000000000E+00, 7.890625000E-01, 0.000000000E+00
       103, 7.968750000E-01, 0.000000000E+00, 7.709081156E-03, 0.000000000E+00, 0.000000000E+00, 7.968750000E-01, 0.000000000E+00
       104, 8.046875000E-01, 0.000000000E+00, 7.592385153E-03, 0.000000000E+00, 0.000000000E+00, 8.046875000E-01, 0.000000000E+00
       105, 8.125000000E-01, 0.000000000E+00, 7.466102391E-03, 0.000000000E+00, 0.000000000E+00, 8.125000000E-01, 0.000000000E+00
       106, 8.203125000E-01, 0.000000000E+00, 7.331251797E-03, 0.000000000E+00, 0.000000000E+00, 8.203125000E-01, 0.000000000E+00
       107, 8.281250000E-01, 0.000000000E+00, 7.188940056E-03, 0.000000000E+00, 0.000000000E+00, 8.281250000E-01, 0.000000000E+00
       108, 8.359375000E-01, 0.000000000E+00, 7.040138469E-03, 0.000000000E+00, 0.000000000E+00, 8.359375000E-01, 0.000000000E+00
       109, 8.437500000E-01, 0.000000000E+00, 6.886143541E-03, 0.000000000E+00, 0.000000000E+00, 8.437500000E-01, 0.000000000E+00
       110, 8.515625000E-01, 0.000000000E+00, 6.727350877E-03, 0.000000000E+00, 0.000000000E+00, 8.515625000E-01, 0.000000000E+00
       111, 8.593750000E-01, 0.000000000E+00, 6.570270744E-03, 0.000000000E+00, 0.000000000E+00, 8.593750000E-01, 0.000000000E+00
       112, 8.671875000E-01, 0.000000000E+00, 6.408970494E-03, 0.000000000E+00, 0.000000000E+00, 8.671875000E-01, 0.000000000E+00
       113, 8.750000000E-01, 0.000000000E+00, 6.243623392E-03, 0.000000000E+00, 0.000000000E+00, 8.750000000E-01, 0.000000000E+00
       114, 8.828125000E-01, 0.000000000E+00, 6.088475126E-03, 0.000000000E+00, 0.000000000E+00, 8.828125000E-01, 0.000000000E+00
       115, 8.906250000E-01, 0.000000000E+00, 5.933716318E-03, 0.000000000E+00, 0.000000000E+00, 8.906250000E-01, 0.000000000E+00
       116, 8.984375000E-01, 0.000000000E+00, 5.780225255E-03, 0.000000000E+00, 0.000000000E+00, 8.984375000E-01, 0.000000000E+00
       117, 9.062500000E-01, 0.000000000E+00, 5.637417414E-03, 0.000000000E+00, 0.000000000E+00, 9.062500000E-01, 0.000000000E+00
       118, 9.140625000E-01, 0.000000000E+00, 5.501816568E-03, 0.000000000E+00, 0.000000000E+00, 9.140625000E-01, 0.000000000E+00
       119, 9.218750000E-01, 0.000000000E+00, 5.375363267E-03, 0.000000000E+00, 0.000000000E+00, 9.218750000E-01, 0.000000000E+00
       120, 9.296875000E-01, 0.000000000E+00, 5.261622920E-03, 0.000000000E+00, 0.000000000E+00, 9.296875000E-01, 0.000000000E+00
       121, 9.375000000E-01, 0.000000000E+00, 5.161717550E-03, 0.000000000E+00, 0.000000000E+00, 9.375000000E-01, 0.000000000E+00
       122, 9.453125000E-01, 0.000000000E+00, 5.076695412E-03, 0.000000000E+00, 0.000000000E+00, 9.453125000E-01, 0.000000000E+00
       123, 9.531250000E-01, 0.000000000E+00, 5.008131041E-03, 0.000000000E+00, 0.000000000E+00, 9.531250000E-01, 0.000000000E+00
       124, 9.609375000E-01, 0.000000000E+00, 4.957384583E-03, 0.000000000E+00, 0.000000000E+00, 9.609375000E-01, 0.000000000E+00
       125, 9.687500000E-01, 0.000000000E+00, 4.924626302E-03, 0.000000000E+00, 0.000000000E+00, 9.687500000E-01, 0.000000000E+00
       126, 9.765625000E-01, 0.000000000E+00, 4.908815469E-03, 0.000000000E+00, 0.000000000E+00, 9.765625000E-01, 0.000000000E+00
       127, 9.843750000E-01, 0.000000000E+00, 4.907771730E-03, 0.000000000E+00, 0.000000000E+00, 9.843750000E-01, 0.000000000E+00
       128, 9.921875000E-01, 0.000000000E+00, 4.913333042E-03, 0.000000000E+00, 0.000000000E+00, 9.921875000E-01, 0.000000000E+00
       129, 1.000000000E+00, 0.000000000E+00, 4.916024891E-03, 0.000000000E+00, 0.000000000E+00, 1.000000000E+00, 0.000000000E+00
       130, 1.734723476E-18, 7.812500000E-03, 1.525910890E-06, 0.000000000E+00, 0.000000000E+00, 1.734723476E-18, 7.812500000E-03
       131, 7.812500000E-03, 7.812500000E-03,-6.727144464E-09, 8.127611853E-06,-8.123631646E-06, 7.812500000E-03, 7.812500000E-03
       132, 1.562500000E-02, 7.812500000E-03,-6.949483389E-06, 2.121754394E-05,-1.215390386E-05, 1.562500000E-02, 7.812500000E-03
       133, 2.343750000E-02, 7.812500000E-03,-2.821816543E-05, 3.598158505E-05,-1.242622733E-05, 2.343750000E-02, 7.812500000E-03
       134, 3.125000000E-02, 7.812500000E-03,-6.829658871E-05, 4.926257047E-05,-9.694191638E-06, 3.125000000E-02, 7.812500000E-03
       135, 3.906250000E-02, 7.812500000E-03,-1.276226665E-04, 5.743859607E-05,-4.674560038E-06, 3.906250000E-02, 7.812500000E-03
       136, 4.687500000E-02, 7.812500000E-03,-2.034227140E-04, 5.799151491E-05, 1.657719444E-06, 4.687500000E-02, 7.812500000E-03
       137, 5.468750000E-02, 7.812500000E-03,-2.922979475E-04, 4.981838114E-05, 8.132956612E-06, 5.468750000E-02, 7.812500000E-03
       138, 6.250000000E-02, 7.812500000E-03,-3.919021499E-04, 3.239147960E-05, 1.496744743E-05, 6.250000000E-02, 7.812500000E-03
       139, 7.031250000E-02, 7.812500000E-03,-4.989044540E-04, 5.700968277E-06, 2.236770332E-05, 7.031250000E-02, 7.812500000E-03
       140, 7.812500000E-02, 7.812500000E-03,-6.138226214E-04,-3.072835367E-05, 2.945291424E-05, 7.812500000E-02, 7.812500000E-03
       141, 8.593750000E-02, 7.812500000E-03,-7.318712895E-04,-7.735260269E-05, 3.651573017E-05, 8.593750000E-02, 7.812500000E-03
       142, 9.375000000E-02, 7.812500000E-03,-8.505296578E-04,-1.330453916E-04, 4.358753131E-05, 9.375000000E-02, 7.812500000E-03
       143, 1.015625000E-01, 7.812500000E-03,-9.700401708E-04,-1.974501855E-04, 5.005913193E-05, 1.015625000E-01, 7.812500000E-03
       144, 1.093750000E-01, 7.812500000E-03,-1.088087004E-03,-2.704426347E-04, 5.608022469E-05, 1.093750000E-01, 7.812500000E-03
       145, 1.171875000E-01, 7.812500000E-03,-1.203339480E-03,-3.514016182E-04, 6.171478589E-05, 1.171875000E-01, 7.812500000E-03
       146, 1.250000000E-01, 7.812500000E-03,-1.314697504E-03,-4.397995375E-04, 6.696839254E-05, 1.250000000E-01, 7.812500000E-03
       147, 1.328125000E-01, 7.812500000E-03,-1.421258139E-03,-5.350910352E-04, 7.183142073E-05, 1.328125000E-01, 7.812500000E-03
       148, 1.406250000E-01, 7.812500000E-03,-1.522212701E-03,-6.367465268E-04, 7.631084919E-05, 1.406250000E-01, 7.812500000E-03
       149, 1.484375000E-01, 7.812500000E-03,-1.616870101E-03,-7.442480306E-04, 8.043365949E-05, 1.484375000E-01, 7.812500000E-03
       150, 1.562500000E-01, 7.812500000E-03,-1.704661912E-03,-8.571122688E-04, 8.422412356E-05, 1.562500000E-01, 7.812500000E-03
       151, 1.640625000E-01, 7.812500000E-03,-1.785101193E-03,-9.747927671E-04, 8.763867362E-05, 1.640625000E-01, 7.812500000E-03
       152, 1.718750000E-01, 7.812500000E-03,-1.857711678E-03,-1.096773692E-03, 9.064980864E-05, 1.718750000E-01, 7.812500000E-03
       153, 1.796875000E-01, 7.812500000E-03,-1.922108080E-03,-1.222620802E-03, 9.330302594E-05, 1.796875000E-01, 7.812500000E-03
       154, 1.875000000E-01, 7.812500000E-03,-1.978005623E-03,-1.351877607E-03, 9.562937425E-05, 1.875000000E-01, 7.812500000E-03
       155, 1.953125000E-01, 7.812500000E-03,-2.025162956E-03,-1.484102470E-03, 9.763518614E-05, 1.953125000E-01, 7.812500000E-03
       156, 2.031250000E-01, 7.812500000E-03,-2.063449680E-03,-1.618893687E-03, 9.932158477E-05, 2.031250000E-01, 7.812500000E-03
       157, 2.109375000E-01, 7.812500000E-03,-2.092906130E-03,-1.755847061E-03, 1.006885720E-04, 2.109375000E-01, 7.812500000E-03
       158, 2.187500000E-01, 7.812500000E-03,-2.113749441E-03,-1.894575992E-03, 1.017994499E-04, 2.187500000E-01, 7.812500000E-03
       159, 2.265625000E-01, 7.812500000E-03,-2.125826666E-03,-2.034555157E-03, 1.027766275E-04, 2.265625000E-01, 7.812500000E-03
       160, 2.343750000E-01, 7.812500000E-03,-2.127966997E-03,-2.175261427E-03, 1.034692298E-04, 2.343750000E-01, 7.812500000E-03
       161, 2.421875000E-01, 7.812500000E-03,-2.119636617E-03,-2.316816455E-03, 1.037587663E-04, 2.421875000E-01, 7.812500000E-03
       162, 2.500000000E-01, 7.812500000E-03,-2.101911686E-03,-2.459048881E-03, 1.038862281E-04, 2.500000000E-01, 7.812500000E-03
       163, 2.578125000E-01, 7.812500000E-03,-2.075401110E-03,-2.601351635E-03, 1.038856645E-04, 2.578125000E-01, 7.812500000E-03
       164, 2.656250000E-01, 7.812500000E-03,-2.039794902E-03,-2.743403653E-03, 1.036341058E-04, 2.656250000E-01, 7.812500000E-03
       165, 2.734375000E-01, 7.812500000E-03,-1.994830005E-03,-2.884883994E-03, 1.031388904E-04, 2.734375000E-01, 7.812500000E-03
       166, 2.812500000E-01, 7.812500000E-03,-1.940400525E-03,-3.025507736E-03, 1.024196178E-04, 2.812500000E-01, 7.812500000E-03
       167, 2.890625000E-01, 7.812500000E-03,-1.876507493E-03,-3.164993387E-03, 1.014893717E-04, 2.890625000E-01, 7.812500000E-03
       168, 2.968750000E-01, 7.812500000E-03,-1.803176318E-03,-3.303046948E-03, 1.003526440E-04, 2.968750000E-01, 7.812500000E-03
       169, 3.046875000E-01, 7.812500000E-03,-1.720438232E-03,-3.439394954E-03, 9.898386937E-05, 3.046875000E-01, 7.812500000E-03
       170, 3.125000000E-01, 7.812500000E-03,-1.628377946E-03,-3.573783816E-03, 9.736244067E-05, 3.125000000E-01, 7.812500000E-03
       171, 3.203125000E-01, 7.812500000E-03,-1.527094488E-03,-3.705901495E-03, 9.553572066E-05, 3.203125000E-01, 7.812500000E-03
       172, 3.281250000E-01, 7.812500000E-03,-1.416640111E-03,-3.835441811E-03, 9.354961719E-05, 3.281250000E-01, 7.812500000E-03
       173, 3.359375000E-01, 7.812500000E-03,-1.297068488E-03,-3.962151394E-03, 9.139190761E-05, 3.359375000E-01, 7.812500000E-03
       174, 3.437500000E-01, 7.812500000E-03,-1.168460794E-03,-4.085762847E-03, 8.904145675E-05, 3.437500000E-01, 7.812500000E-03
       175, 3.515625000E-01, 7.812500000E-03,-1.030914379E-03,-4.205998019E-03, 8.648709599E-05, 3.515625000E-01, 7.812500000E-03
       176, 3.593750000E-01, 7.812500000E-03,-8.845415779E-04,-4.322572538E-03, 8.372579507E-05, 3.593750000E-01, 7.812500000E-03
       177, 3.671875000E-01, 7.812500000E-03,-7.294742272E-04,-4.435204847E-03, 8.075847082E-05, 3.671875000E-01, 7.812500000E-03
       178, 3.750000000E-01, 7.812500000E-03,-5.658667064E-04,-4.543612909E-03, 7.758570847E-05, 3.750000000E-01, 7.812500000E-03
       179, 3.828125000E-01, 7.812500000E-03,-3.938933303E-04,-4.647515508E-03, 7.420756744E-05, 3.828125000E-01, 7.812500000E-03
       180, 3.906250000E-01, 7.812500000E-03,-2.137519788E-04,-4.746632059E-03, 7.062464597E-05, 3.906250000E-01, 7.812500000E-03
       181, 3.984375000E-01, 7.812500000E-03,-2.566564726E-05,-4.840683388E-03, 6.683804977E-05, 3.984375000E-01, 7.812500000E-03
       182, 4.062500000E-01, 7.812500000E-03, 1.701161424E-04,-4.929392476E-03, 6.284949861E-05, 4.062500000E-01, 7.812500000E-03
       183, 4.140625000E-01, 7.812500000E-03, 3.733160931E-04,-5.012485368E-03, 5.866142998E-05, 4.140625000E-01, 7.812500000E-03
       184, 4.218750000E-01, 7.812500000E-03, 5.836277841E-04,-5.089692151E-03, 5.427708171E-05, 4.218750000E-01, 7.812500000E-03
       185, 4.296875000E-01, 7.812500000E-03, 8.007142810E-04,-5.160748112E-03, 4.970055266E-05, 4.296875000E-01, 7.812500000E-03
       186, 4.375000000E-01, 7.812500000E-03, 1.024207224E-03,-5.225395013E-03, 4.493690852E-05, 4.375000000E-01, 7.812500000E-03
       187, 4.453125000E-01, 7.812500000E-03, 1.253706068E-03,-5.283382437E-03, 3.999224473E-05, 4.453125000E-01, 7.812500000E-03
       188, 4.531250000E-01, 7.812500000E-03, 1.488777496E-03,-5.334469179E-03, 3.487375706E-05, 4.531250000E-01, 7.812500000E-03
       189, 4.609375000E-01, 7.812500000E-03, 1.728954706E-03,-5.378424782E-03, 2.958977235E-05, 4.609375000E-01, 7.812500000E-03
       190, 4.687500000E-01, 7.812500000E-03, 1.973737816E-03,-5.415031398E-03, 2.415001568E-05, 4.687500000E-01, 7.812500000E-03
